name,prefix,seed,dim,n_clusters,nearest_neighbors,ari,nmi,sum
SpectralClustering,high_data,7,2,10,50,0.5415416473817319,0.7188642532135731,1.260405900595305
SpectralClustering,high_data,7,2,10,55,0.5436786967061443,0.719000339562814,1.2626790362689584
SpectralClustering,high_data,7,2,10,60,0.551199896624562,0.7277392008979443,1.2789390975225063
SpectralClustering,high_data,7,2,10,65,0.5529699688695374,0.7277944434208191,1.2807644122903565
SpectralClustering,high_data,7,2,10,70,0.5074428608480996,0.6942447320210708,1.2016875928691704
SpectralClustering,high_data,7,2,10,75,0.40460411091805076,0.6181522942390774,1.022756405157128
SpectralClustering,high_data,7,2,10,80,0.39043609905280663,0.6123022494607969,1.0027383485136037
SpectralClustering,high_data,7,2,10,85,0.38797339372177747,0.6135541620797066,1.001527555801484
SpectralClustering,high_data,7,2,10,90,0.36390355755199105,0.5848084045668087,0.9487119621187998
SpectralClustering,high_data,7,2,10,95,0.3634331469553826,0.5836345519899562,0.9470676989453388
SpectralClustering,high_data,7,2,10,100,0.3626792344512574,0.5827446988476248,0.9454239332988822
SpectralClustering,high_data,7,2,10,110,0.3634887404345858,0.5825525638643771,0.9460413042989629
SpectralClustering,high_data,7,2,10,120,0.36253768868336955,0.5820966519093796,0.9446343405927492
SpectralClustering,high_data,7,2,10,130,0.35438626092675724,0.5750765948934732,0.9294628558202305
SpectralClustering,high_data,7,2,10,140,0.35353034892212537,0.5734425070376162,0.9269728559597417
SpectralClustering,high_data,7,2,10,150,0.3529634539771935,0.5703463289052105,0.923309782882404
SpectralClustering,high_data,7,2,10,160,0.40360473662310103,0.6020144499458513,1.0056191865689523
SpectralClustering,high_data,7,2,10,170,0.4054596995090963,0.6041449311113612,1.0096046306204576
SpectralClustering,high_data,7,2,10,180,0.40907952726251284,0.6065403011561988,1.0156198284187117
SpectralClustering,high_data,7,2,10,190,0.41181695755985154,0.6080059583056295,1.019822915865481
SpectralClustering,high_data,7,2,10,200,0.41253214034688457,0.607780642205465,1.0203127825523497
SpectralClustering,high_data,7,2,10,220,0.41247864045932336,0.6074766166400773,1.0199552570994008
SpectralClustering,high_data,7,2,10,240,0.4162525627521326,0.6102697073130389,1.0265222700651715
SpectralClustering,high_data,7,2,10,260,0.41846683013935054,0.6136079646357273,1.032074794775078
SpectralClustering,high_data,7,2,10,280,0.4198447784284581,0.6148509916902642,1.0346957701187223
SpectralClustering,high_data,7,2,10,300,0.4205184030709409,0.6149522197171133,1.0354706227880541
SpectralClustering,high_data,7,2,10,350,0.3966484655478039,0.5947929147680525,0.9914413803158564
SpectralClustering,high_data,7,2,10,400,0.3917477602008407,0.591186296891148,0.9829340570919887
SpectralClustering,high_data,7,2,10,450,0.39297463524350396,0.5906049633897317,0.9835795986332356
SpectralClustering,high_data,7,2,10,500,0.40188656541634543,0.5938417997950616,0.9957283652114071
SpectralClustering,high_data,7,5,10,3,0.1714463149107943,0.3455037275994104,0.5169500425102047
SpectralClustering,high_data,7,5,10,4,0.17482533477239984,0.5131385282449373,0.6879638630173371
SpectralClustering,high_data,7,5,10,5,0.16788282559170742,0.5414826980180121,0.7093655236097195
SpectralClustering,high_data,7,5,10,6,0.23443232440840092,0.5903950891742521,0.824827413582653
SpectralClustering,high_data,7,5,10,7,0.1807067966135831,0.5600776937466346,0.7407844903602178
SpectralClustering,high_data,7,5,10,8,0.22550225272903512,0.5874455153172387,0.8129477680462738
