name,prefix,seed,dim,variance,k,min_cluster_size,ari,nmi,sum
MultiDensityDBSCAN,high_data,0,2,1,7,15,0.024860526126536227,0.41686265397482003,0.44172318010135625
MultiDensityDBSCAN,high_data,0,2,1,7,20,0.031073315287636686,0.3710953959087256,0.40216871119636227
MultiDensityDBSCAN,high_data,0,2,1,7,25,0.02119234157364473,0.3631786317844513,0.38437097335809606
MultiDensityDBSCAN,high_data,0,2,1,10,2,0.002913252062798539,0.42746422993779787,0.4303774820005964
MultiDensityDBSCAN,high_data,0,2,1,10,3,0.006631880045651359,0.4421861227098325,0.44881800275548384
MultiDensityDBSCAN,high_data,0,2,1,10,5,0.01239319991607675,0.4531671671948257,0.46556036711090243
MultiDensityDBSCAN,high_data,0,2,1,10,10,0.04252463922792809,0.4705698006866881,0.5130944399146161
MultiDensityDBSCAN,high_data,0,2,1,10,15,0.049506687161485194,0.472883420587957,0.5223901077494422
MultiDensityDBSCAN,high_data,0,2,1,10,20,0.03007631760573085,0.43888546237103254,0.4689617799767634
MultiDensityDBSCAN,high_data,0,2,1,10,25,0.0320876516420755,0.4319286119922139,0.4640162636342894
MultiDensityDBSCAN,high_data,0,2,1,15,2,0.002791052259722102,0.42910141785191036,0.43189247011163245
MultiDensityDBSCAN,high_data,0,2,1,15,3,0.006516621573135632,0.44646781143847725,0.4529844330116129
MultiDensityDBSCAN,high_data,0,2,1,15,5,0.012547151917482695,0.46023275144785414,0.4727799033653368
MultiDensityDBSCAN,high_data,0,2,1,15,10,0.03440832662255425,0.48399433001626185,0.5184026566388161
MultiDensityDBSCAN,high_data,0,2,1,15,15,0.05570694113347113,0.49201489597134,0.5477218371048111
MultiDensityDBSCAN,high_data,0,2,1,15,20,0.058382407726310766,0.48543459859487503,0.5438170063211858
MultiDensityDBSCAN,high_data,0,2,1,15,25,0.06535209909028032,0.48590629966034954,0.5512583987506299
MultiDensityDBSCAN,high_data,0,2,1,20,2,0.0028652362653546794,0.4310823791639617,0.43394761542931637
MultiDensityDBSCAN,high_data,0,2,1,20,3,0.006726120482119267,0.4481458103221595,0.4548719308042788
MultiDensityDBSCAN,high_data,0,2,1,20,5,0.012861746105223802,0.4673638771677147,0.4802256232729385
MultiDensityDBSCAN,high_data,0,2,1,20,10,0.03423842027296223,0.4879451713897717,0.522183591662734
MultiDensityDBSCAN,high_data,0,2,1,20,15,0.050058452983946025,0.49977433941959915,0.5498327924035452
MultiDensityDBSCAN,high_data,0,2,1,20,20,0.053948102209963864,0.49308622643139205,0.5470343286413559
MultiDensityDBSCAN,high_data,0,2,1,20,25,0.12423013434557859,0.5218537386476776,0.6460838729932562
MultiDensityDBSCAN,high_data,0,2,1,25,2,0.0027862954419090595,0.43126369259628694,0.434049988038196
MultiDensityDBSCAN,high_data,0,2,1,25,3,0.0064872981679562495,0.44939313649050183,0.45588043465845807
MultiDensityDBSCAN,high_data,0,2,1,25,5,0.012956454975942843,0.4679662704794036,0.4809227254553464
MultiDensityDBSCAN,high_data,0,2,1,25,10,0.035756602541553564,0.496756114128158,0.5325127166697116
MultiDensityDBSCAN,high_data,0,2,1,25,15,0.07943191000735939,0.5072431812288407,0.5866750912362001
MultiDensityDBSCAN,high_data,0,2,1,25,20,0.09370905017179647,0.5209449989496241,0.6146540491214205
MultiDensityDBSCAN,high_data,0,2,1,25,25,0.10584687216537307,0.5132279004307002,0.6190747725960732
MultiDensityDBSCAN,high_data,0,2,1,30,2,0.002837027434015283,0.4322957673038514,0.43513279473786665
MultiDensityDBSCAN,high_data,0,2,1,30,3,0.0064501669705690386,0.45012352527170313,0.4565736922422722
MultiDensityDBSCAN,high_data,0,2,1,30,5,0.012153174146056125,0.4673919461850302,0.4795451203310863
MultiDensityDBSCAN,high_data,0,2,1,30,10,0.03286544857758895,0.5013084643629471,0.5341739129405361
MultiDensityDBSCAN,high_data,0,2,1,30,15,0.06431419854730447,0.5122817174602522,0.5765959160075567
MultiDensityDBSCAN,high_data,0,2,1,30,20,0.11585074227738536,0.5340385777838338,0.6498893200612191
MultiDensityDBSCAN,high_data,0,2,1,30,25,0.12607200188597784,0.5337398662895362,0.6598118681755141
MultiDensityDBSCAN,high_data,0,2,1,40,2,0.002788307977288416,0.4327048448951095,0.4354931528723979
MultiDensityDBSCAN,high_data,0,2,1,40,3,0.006474553415566674,0.4519548210164262,0.4584293744319929
MultiDensityDBSCAN,high_data,0,2,1,40,5,0.012364180725835014,0.4705912380366205,0.4829554187624555
MultiDensityDBSCAN,high_data,0,2,1,40,10,0.03441546468733765,0.4991003313949164,0.5335157960822541
MultiDensityDBSCAN,high_data,0,2,1,40,15,0.0540151651534677,0.5185403701970499,0.5725555353505176
MultiDensityDBSCAN,high_data,0,2,1,40,20,0.08843342484093078,0.5319722963586754,0.6204057211996061
