name,prefix,seed,dim,density_threshold,distance_threshold,gauss_cutoff,ari,nmi,sum
dpca,high_data,0,2,0.02,0.2,True,0.05444893575287617,0.23179171935253698,0.28624065510541313
dpca,high_data,0,2,0.02,0.3,True,0.0,0.0,0.0
dpca,high_data,0,2,0.02,0.4,True,0.0,0.0,0.0
dpca,high_data,0,2,0.02,,True,0.3993749034685502,0.5718057697551103,0.9711806732236605
dpca,high_data,0,2,0.03,0.01,True,0.06597953076927186,0.3781649518635974,0.44414448263286926
dpca,high_data,0,2,0.03,0.02,True,0.23224207452472104,0.4941325257461513,0.7263746002708723
dpca,high_data,0,2,0.03,0.03,True,0.3820716083025189,0.5678925120207416,0.9499641203232605
dpca,high_data,0,2,0.03,0.04,True,0.37522019023816344,0.5700151202164973,0.9452353104546607
dpca,high_data,0,2,0.03,0.05,True,0.4318238857420819,0.5771084923359598,1.0089323780780417
dpca,high_data,0,2,0.03,0.06,True,0.4176471877526876,0.565266228783437,0.9829134165361246
dpca,high_data,0,2,0.03,0.07,True,0.40797655267059296,0.5630610035944577,0.9710375562650506
dpca,high_data,0,2,0.03,0.08,True,0.3941716496304626,0.5588709284910627,0.9530425781215253
dpca,high_data,0,2,0.03,0.09,True,0.3667611736055218,0.5476658887724911,0.9144270623780129
dpca,high_data,0,2,0.03,0.1,True,0.41128547184095876,0.575254827722879,0.9865402995638377
dpca,high_data,0,2,0.03,0.15,True,0.317641572155369,0.5353420510531294,0.8529836232084984
dpca,high_data,0,2,0.03,0.2,True,0.05444893575287617,0.23179171935253698,0.28624065510541313
dpca,high_data,0,2,0.03,0.3,True,0.0,0.0,0.0
dpca,high_data,0,2,0.03,0.4,True,0.0,0.0,0.0
dpca,high_data,0,2,0.03,,True,0.3993749034685502,0.5718057697551103,0.9711806732236605
dpca,high_data,0,2,0.04,0.01,True,0.06597982871722097,0.37819215367401904,0.44417198239124
dpca,high_data,0,2,0.04,0.02,True,0.23224243460233052,0.494164711441016,0.7264071460433466
dpca,high_data,0,2,0.04,0.03,True,0.38207198714946344,0.5679284011847927,0.9500003883342562
dpca,high_data,0,2,0.04,0.04,True,0.37522169338441985,0.5700813071894621,0.9453030005738821
dpca,high_data,0,2,0.04,0.05,True,0.4318238857420819,0.5771084923359598,1.0089323780780417
dpca,high_data,0,2,0.04,0.06,True,0.4176471877526876,0.565266228783437,0.9829134165361246
dpca,high_data,0,2,0.04,0.07,True,0.40797655267059296,0.5630610035944577,0.9710375562650506
dpca,high_data,0,2,0.04,0.08,True,0.3941716496304626,0.5588709284910627,0.9530425781215253
dpca,high_data,0,2,0.04,0.09,True,0.3667611736055218,0.5476658887724911,0.9144270623780129
dpca,high_data,0,2,0.04,0.1,True,0.41128547184095876,0.575254827722879,0.9865402995638377
dpca,high_data,0,2,0.04,0.15,True,0.317641572155369,0.5353420510531294,0.8529836232084984
dpca,high_data,0,2,0.04,0.2,True,0.05444893575287617,0.23179171935253698,0.28624065510541313
dpca,high_data,0,2,0.04,0.3,True,0.0,0.0,0.0
dpca,high_data,0,2,0.04,0.4,True,0.0,0.0,0.0
dpca,high_data,0,2,0.04,,True,0.3993749034685502,0.5718057697551103,0.9711806732236605
dpca,high_data,0,2,0.05,0.01,True,0.06577901492137406,0.378126050571464,0.44390506549283804
dpca,high_data,0,2,0.05,0.02,True,0.23224711560010836,0.49444828178731753,0.726695397387426
dpca,high_data,0,2,0.05,0.03,True,0.38207729099136717,0.5682581571445595,0.9503354481359267
dpca,high_data,0,2,0.05,0.04,True,0.3752269543782918,0.5704182804195299,0.9456452347978217
dpca,high_data,0,2,0.05,0.05,True,0.4318238857420819,0.5771084923359598,1.0089323780780417
dpca,high_data,0,2,0.05,0.06,True,0.4176471877526876,0.565266228783437,0.9829134165361246
dpca,high_data,0,2,0.05,0.07,True,0.40797655267059296,0.5630610035944577,0.9710375562650506
dpca,high_data,0,2,0.05,0.08,True,0.3941716496304626,0.5588709284910627,0.9530425781215253
dpca,high_data,0,2,0.05,0.09,True,0.3667611736055218,0.5476658887724911,0.9144270623780129
dpca,high_data,0,2,0.05,0.1,True,0.41128547184095876,0.575254827722879,0.9865402995638377
dpca,high_data,0,2,0.05,0.15,True,0.317641572155369,0.5353420510531294,0.8529836232084984
dpca,high_data,0,2,0.05,0.2,True,0.05444893575287617,0.23179171935253698,0.28624065510541313
dpca,high_data,0,2,0.05,0.3,True,0.0,0.0,0.0
dpca,high_data,0,2,0.05,0.4,True,0.0,0.0,0.0
dpca,high_data,0,2,0.05,,True,0.3993749034685502,0.5718057697551103,0.9711806732236605
dpca,high_data,0,2,0.06,0.01,True,0.06537839771228161,0.3777055972642559,0.4430839949765375
dpca,high_data,0,2,0.06,0.02,True,0.23206050433531203,0.4945514203021307,0.7266119246374427
dpca,high_data,0,2,0.06,0.03,True,0.3820837313323759,0.5685171080640402,0.950600839396416
dpca,high_data,0,2,0.06,0.04,True,0.3752329669083828,0.5706461521869074,0.9458791190952902
dpca,high_data,0,2,0.06,0.05,True,0.4318238857420819,0.5771084923359598,1.0089323780780417
dpca,high_data,0,2,0.06,0.06,True,0.4176471877526876,0.565266228783437,0.9829134165361246
dpca,high_data,0,2,0.06,0.07,True,0.40797655267059296,0.5630610035944577,0.9710375562650506
dpca,high_data,0,2,0.06,0.08,True,0.3941716496304626,0.5588709284910627,0.9530425781215253
dpca,high_data,0,2,0.06,0.09,True,0.3667611736055218,0.5476658887724911,0.9144270623780129
dpca,high_data,0,2,0.06,0.1,True,0.41128547184095876,0.575254827722879,0.9865402995638377
dpca,high_data,0,2,0.06,0.15,True,0.317641572155369,0.5353420510531294,0.8529836232084984
dpca,high_data,0,2,0.06,0.2,True,0.05444893575287617,0.23179171935253698,0.28624065510541313
dpca,high_data,0,2,0.06,0.3,True,0.0,0.0,0.0
dpca,high_data,0,2,0.06,0.4,True,0.0,0.0,0.0
dpca,high_data,0,2,0.06,,True,0.3993749034685502,0.5718057697551103,0.9711806732236605
dpca,high_data,0,2,0.07,0.01,True,0.06537839771228161,0.3777055972642559,0.4430839949765375
dpca,high_data,0,2,0.07,0.02,True,0.23206050433531203,0.4945514203021307,0.7266119246374427
dpca,high_data,0,2,0.07,0.03,True,0.3820837313323759,0.5685171080640402,0.950600839396416
dpca,high_data,0,2,0.07,0.04,True,0.3752329669083828,0.5706461521869074,0.9458791190952902
dpca,high_data,0,2,0.07,0.05,True,0.4318238857420819,0.5771084923359598,1.0089323780780417
