name,prefix,seed,dim,k,beta,ari,nmi,sum
DCF,high_data,0,2,9,0.97,0.7412541700243128,0.8217274464541441,1.562981616478457
DCF,high_data,0,2,10,0.97,0.7710074028323729,0.8387213289419367,1.6097287317743096
DCF,high_data,0,2,11,0.97,0.7711315363814154,0.8396465679335937,1.6107781043150091
DCF,high_data,0,2,12,0.97,0.6764877307296965,0.7962093896718361,1.4726971204015324
DCF,high_data,0,2,13,0.97,0.6857232231037268,0.8122031613963323,1.497926384500059
DCF,high_data,0,2,14,0.97,0.6851549886736684,0.8123602584886541,1.4975152471623225
DCF,high_data,0,2,15,0.97,0.6847710875372969,0.8085302835010023,1.4933013710382992
DCF,high_data,0,2,20,0.97,0.5820809648060201,0.7293142395888088,1.311395204394829
DCF,high_data,0,2,25,0.97,0.21994364236940717,0.38882401627128166,0.6087676586406888
DCF,high_data,0,2,30,0.97,0.21727088374498216,0.38218278807211176,0.599453671817094
DCF,high_data,0,2,35,0.97,0.2311000509474887,0.4102264027063884,0.6413264536538771
DCF,high_data,0,2,40,0.97,0.22694629651156567,0.3877910869773317,0.6147373834888974
DCF,high_data,0,2,45,0.97,0.22691857971912094,0.3876900277627648,0.6146086074818857
DCF,high_data,0,2,50,0.97,0.22766364766782143,0.3907244465896854,0.6183880942575068
DCF,high_data,0,2,55,0.97,0.22790703532097742,0.39078276414654717,0.6186897994675246
DCF,high_data,0,2,60,0.97,0.22768391524720247,0.3905947265153496,0.6182786417625521
DCF,high_data,0,2,70,0.97,0.22741641375350502,0.3855301469734209,0.612946560726926
DCF,high_data,0,2,80,0.97,0.0,0.0,0.0
DCF,high_data,0,2,90,0.97,0.0,0.0,0.0
DCF,high_data,0,2,100,0.97,0.0,0.0,0.0
DCF,high_data,0,2,3,0.98,0.007039750834021004,0.45530338381844376,0.4623431346524648
DCF,high_data,0,2,5,0.98,0.16158362952410393,0.6041846727544795,0.7657683022785835
DCF,high_data,0,2,6,0.98,0.5122628342614218,0.7397388595413351,1.252001693802757
DCF,high_data,0,2,7,0.98,0.8726076928747226,0.8552771653024357,1.7278848581771582
DCF,high_data,0,2,8,0.98,0.8411441163637823,0.863249051600927,1.7043931679647093
DCF,high_data,0,2,9,0.98,0.7722168221195344,0.8484031896223604,1.6206200117418947
DCF,high_data,0,2,10,0.98,0.8067015222770092,0.8733508104055078,1.680052332682517
DCF,high_data,0,2,11,0.98,0.8071146639745124,0.8750579846138379,1.6821726485883501
DCF,high_data,0,2,12,0.98,0.7185156082254673,0.8333920491557059,1.5519076573811732
DCF,high_data,0,2,13,0.98,0.5889186647106811,0.7189373108025958,1.3078559755132768
DCF,high_data,0,2,14,0.98,0.5766404925155234,0.7311797922538644,1.3078202847693878
DCF,high_data,0,2,15,0.98,0.6847853304083555,0.8086796096073928,1.4934649400157483
DCF,high_data,0,2,20,0.98,0.5820809648060201,0.7293142395888088,1.311395204394829
