name,prefix,seed,dim,min_cluster_size,ari,nmi,sum
HDBSCAN,high_data,0,10,6,1.0,1.0,2.0
HDBSCAN,high_data,0,10,7,1.0,1.0,2.0
HDBSCAN,high_data,0,10,8,1.0,1.0,2.0
HDBSCAN,high_data,0,10,9,1.0,1.0,2.0
HDBSCAN,high_data,0,10,10,1.0,1.0,2.0
HDBSCAN,high_data,0,10,11,1.0,1.0,2.0
HDBSCAN,high_data,0,10,12,1.0,1.0,2.0
HDBSCAN,high_data,0,10,13,0.9989383232865837,0.9983159697136552,1.997254293000239
HDBSCAN,high_data,0,10,14,0.9982340958141269,0.9974277093212081,1.995661805135335
HDBSCAN,high_data,0,10,15,0.9944894121729376,0.9930846546136914,1.987574066786629
HDBSCAN,high_data,0,10,16,0.9923792827293303,0.9909611613562964,1.9833404440856266
