name,prefix,seed,dim,n_clusters,threshold,branching_factor,ari,nmi,sum
Birch,high_data,0,2,10,0.025,400,0.35814917502058835,0.5326629164945729,0.8908120915151612
Birch,high_data,0,2,10,0.025,500,0.35814917502058835,0.5326629164945729,0.8908120915151612
Birch,high_data,0,2,10,0.025,600,0.35814917502058835,0.5326629164945729,0.8908120915151612
Birch,high_data,0,2,10,0.025,750,0.35814917502058835,0.5326629164945729,0.8908120915151612
Birch,high_data,0,2,10,0.025,1000,0.35814917502058835,0.5326629164945729,0.8908120915151612
Birch,high_data,0,2,10,0.05,10,0.1289131845006153,0.34650691981205356,0.4754201043126689
Birch,high_data,0,2,10,0.05,25,0.4014755425562648,0.5276789038148044,0.9291544463710693
Birch,high_data,0,2,10,0.05,40,0.44384123015779103,0.5861614286028722,1.0300026587606632
Birch,high_data,0,2,10,0.05,50,0.46850709663022516,0.5932040760313299,1.0617111726615551
Birch,high_data,0,2,10,0.05,60,0.43131309610107543,0.5819385800018125,1.013251676102888
Birch,high_data,0,2,10,0.05,75,0.49446888975585956,0.6055832893473674,1.100052179103227
Birch,high_data,0,2,10,0.05,100,0.48665275941850755,0.5911327079916975,1.077785467410205
Birch,high_data,0,2,10,0.05,150,0.48665275941850755,0.5911327079916975,1.077785467410205
Birch,high_data,0,2,10,0.05,200,0.48665275941850755,0.5911327079916975,1.077785467410205
Birch,high_data,0,2,10,0.05,250,0.48665275941850755,0.5911327079916975,1.077785467410205
Birch,high_data,0,2,10,0.05,300,0.48665275941850755,0.5911327079916975,1.077785467410205
Birch,high_data,0,2,10,0.05,400,0.48665275941850755,0.5911327079916975,1.077785467410205
Birch,high_data,0,2,10,0.05,500,0.48665275941850755,0.5911327079916975,1.077785467410205
Birch,high_data,0,2,10,0.05,600,0.48665275941850755,0.5911327079916975,1.077785467410205
Birch,high_data,0,2,10,0.05,750,0.48665275941850755,0.5911327079916975,1.077785467410205
Birch,high_data,0,2,10,0.05,1000,0.48665275941850755,0.5911327079916975,1.077785467410205
Birch,high_data,0,2,10,0.075,10,0.25302663795135566,0.4910799460182159,0.7441065839695715
Birch,high_data,0,2,10,0.075,25,0.17676973814501215,0.38407331190997995,0.5608430500549921
Birch,high_data,0,2,10,0.075,40,0.3595890992293517,0.5262924734274943,0.8858815726568461
Birch,high_data,0,2,10,0.075,50,0.25357659911723934,0.47730127933492095,0.7308778784521603
Birch,high_data,0,2,10,0.075,60,0.25357659911723934,0.47730127933492095,0.7308778784521603
Birch,high_data,0,2,10,0.075,75,0.25357659911723934,0.47730127933492095,0.7308778784521603
Birch,high_data,0,2,10,0.075,100,0.25357659911723934,0.47730127933492095,0.7308778784521603
Birch,high_data,0,2,10,0.075,150,0.25357659911723934,0.47730127933492095,0.7308778784521603
Birch,high_data,0,2,10,0.075,200,0.25357659911723934,0.47730127933492095,0.7308778784521603
Birch,high_data,0,2,10,0.075,250,0.25357659911723934,0.47730127933492095,0.7308778784521603
Birch,high_data,0,2,10,0.075,300,0.25357659911723934,0.47730127933492095,0.7308778784521603
Birch,high_data,0,2,10,0.075,400,0.25357659911723934,0.47730127933492095,0.7308778784521603
Birch,high_data,0,2,10,0.075,500,0.25357659911723934,0.47730127933492095,0.7308778784521603
Birch,high_data,0,2,10,0.075,600,0.25357659911723934,0.47730127933492095,0.7308778784521603
Birch,high_data,0,2,10,0.075,750,0.25357659911723934,0.47730127933492095,0.7308778784521603
Birch,high_data,0,2,10,0.075,1000,0.25357659911723934,0.47730127933492095,0.7308778784521603
Birch,high_data,0,2,10,0.1,10,0.43589722247636775,0.5749771022052873,1.0108743246816552
Birch,high_data,0,2,10,0.1,25,0.43300296902667124,0.5680644209075827,1.001067389934254
Birch,high_data,0,2,10,0.1,40,0.43300296902667124,0.5680644209075827,1.001067389934254
Birch,high_data,0,2,10,0.1,50,0.43300296902667124,0.5680644209075827,1.001067389934254
Birch,high_data,0,2,10,0.1,60,0.43300296902667124,0.5680644209075827,1.001067389934254
Birch,high_data,0,2,10,0.1,75,0.43300296902667124,0.5680644209075827,1.001067389934254
Birch,high_data,0,2,10,0.1,100,0.43300296902667124,0.5680644209075827,1.001067389934254
Birch,high_data,0,2,10,0.1,150,0.43300296902667124,0.5680644209075827,1.001067389934254
Birch,high_data,0,2,10,0.1,200,0.43300296902667124,0.5680644209075827,1.001067389934254
Birch,high_data,0,2,10,0.1,250,0.43300296902667124,0.5680644209075827,1.001067389934254
Birch,high_data,0,2,10,0.1,300,0.43300296902667124,0.5680644209075827,1.001067389934254
Birch,high_data,0,2,10,0.1,400,0.43300296902667124,0.5680644209075827,1.001067389934254
Birch,high_data,0,2,10,0.1,500,0.43300296902667124,0.5680644209075827,1.001067389934254
Birch,high_data,0,2,10,0.1,600,0.43300296902667124,0.5680644209075827,1.001067389934254
Birch,high_data,0,2,10,0.1,750,0.43300296902667124,0.5680644209075827,1.001067389934254
Birch,high_data,0,2,10,0.1,1000,0.43300296902667124,0.5680644209075827,1.001067389934254
Birch,high_data,0,2,10,0.125,10,0.18554927968387377,0.4169969702144329,0.6025462498983066
Birch,high_data,0,2,10,0.125,25,0.1850336626432394,0.41585499506187507,0.6008886577051145
Birch,high_data,0,2,10,0.125,40,0.1850336626432394,0.41585499506187507,0.6008886577051145
Birch,high_data,0,2,10,0.125,50,0.1850336626432394,0.41585499506187507,0.6008886577051145
Birch,high_data,0,2,10,0.125,60,0.1850336626432394,0.41585499506187507,0.6008886577051145
Birch,high_data,0,2,10,0.125,75,0.1850336626432394,0.41585499506187507,0.6008886577051145
Birch,high_data,0,2,10,0.125,100,0.1850336626432394,0.41585499506187507,0.6008886577051145
Birch,high_data,0,2,10,0.125,150,0.1850336626432394,0.41585499506187507,0.6008886577051145
Birch,high_data,0,2,10,0.125,200,0.1850336626432394,0.41585499506187507,0.6008886577051145
Birch,high_data,0,2,10,0.125,250,0.1850336626432394,0.41585499506187507,0.6008886577051145
Birch,high_data,0,2,10,0.125,300,0.1850336626432394,0.41585499506187507,0.6008886577051145
Birch,high_data,0,2,10,0.125,400,0.1850336626432394,0.41585499506187507,0.6008886577051145
Birch,high_data,0,2,10,0.125,500,0.1850336626432394,0.41585499506187507,0.6008886577051145
Birch,high_data,0,2,10,0.125,600,0.1850336626432394,0.41585499506187507,0.6008886577051145
