name,prefix,seed,dim,epsilon,min_samples,ari,nmi,sum
DBSCAN,new_data_scaled,0,2,0.005,13,0.09557171514973069,0.3898055394960821,0.4853772546458128
DBSCAN,new_data_scaled,0,2,0.005,14,0.08819961250430079,0.3641820001254812,0.452381612629782
DBSCAN,new_data_scaled,0,2,0.005,15,0.06561288551273627,0.3394843290927277,0.40509721460546394
DBSCAN,new_data_scaled,0,2,0.005,16,0.06210836603711721,0.3198203572565259,0.38192872329364314
DBSCAN,new_data_scaled,0,2,0.005,17,0.05398920101483267,0.2970213550083481,0.35101055602318076
DBSCAN,new_data_scaled,0,2,0.005,18,0.05056682033681622,0.2821941776593843,0.3327609979962005
DBSCAN,new_data_scaled,0,2,0.005,19,0.04872237170154208,0.27252969111923137,0.32125206282077345
DBSCAN,new_data_scaled,0,2,0.005,20,0.031027873551113132,0.25285152686875206,0.2838794004198652
DBSCAN,new_data_scaled,0,2,0.006,2,0.832026534904865,0.7716937062219766,1.6037202411268416
DBSCAN,new_data_scaled,0,2,0.006,3,0.8038429623943354,0.7813890281403826,1.585231990534718
DBSCAN,new_data_scaled,0,2,0.006,4,0.7511208099458512,0.7720873384559326,1.5232081484017836
DBSCAN,new_data_scaled,0,2,0.006,5,0.6891663562528193,0.7522291751069383,1.4413955313597575
DBSCAN,new_data_scaled,0,2,0.006,6,0.6413783301091961,0.7369738723493959,1.3783522024585921
DBSCAN,new_data_scaled,0,2,0.006,7,0.5865128431217999,0.7176142853814419,1.3041271285032416
DBSCAN,new_data_scaled,0,2,0.006,8,0.41343642033215916,0.6567554415522726,1.0701918618844317
DBSCAN,new_data_scaled,0,2,0.006,9,0.34833478582393296,0.6224567260534752,0.9707915118774082
DBSCAN,new_data_scaled,0,2,0.006,10,0.28603986968726197,0.5882553261185882,0.8742951958058502
DBSCAN,new_data_scaled,0,2,0.006,11,0.23440283997340264,0.5514597413769088,0.7858625813503114
DBSCAN,new_data_scaled,0,2,0.006,12,0.21547154928142812,0.534897483316483,0.7503690325979111
DBSCAN,new_data_scaled,0,2,0.006,13,0.19058654334362862,0.5104648465637696,0.7010513899073982
DBSCAN,new_data_scaled,0,2,0.006,14,0.170341136444829,0.4892769716686942,0.6596181081135233
DBSCAN,new_data_scaled,0,2,0.006,15,0.15105917221051227,0.4675672940987558,0.6186264663092681
DBSCAN,new_data_scaled,0,2,0.006,16,0.13100036587121083,0.43395692916977047,0.5649572950409814
DBSCAN,new_data_scaled,0,2,0.006,17,0.11430622155829813,0.40557629481287955,0.5198825163711777
DBSCAN,new_data_scaled,0,2,0.006,18,0.10676511310551676,0.3828243612907402,0.489589474396257
DBSCAN,new_data_scaled,0,2,0.006,19,0.10235793886913302,0.3711314411479918,0.4734893800171248
DBSCAN,new_data_scaled,0,2,0.006,20,0.08887023752179968,0.3503202215317557,0.43919045905355536
DBSCAN,new_data_scaled,0,2,0.007,2,0.868306806127615,0.8142781820160714,1.6825849881436863
DBSCAN,new_data_scaled,0,2,0.007,3,0.8526105795504393,0.8264569920254345,1.6790675715758738
DBSCAN,new_data_scaled,0,2,0.007,4,0.8243009046554649,0.8227025829667148,1.6470034876221797
DBSCAN,new_data_scaled,0,2,0.007,5,0.7760207235235758,0.7961352319463706,1.5721559554699462
DBSCAN,new_data_scaled,0,2,0.007,6,0.7357471397350532,0.7764855445948324,1.5122326843298857
DBSCAN,new_data_scaled,0,2,0.007,7,0.6925906950258686,0.7632660552698943,1.455856750295763
DBSCAN,new_data_scaled,0,2,0.007,8,0.64969439479192,0.7532385303828834,1.4029329251748033
DBSCAN,new_data_scaled,0,2,0.007,9,0.5615378441149714,0.7197528611736813,1.2812907052886526
DBSCAN,new_data_scaled,0,2,0.007,10,0.5193430382982394,0.7050556916526827,1.224398729950922
DBSCAN,new_data_scaled,0,2,0.007,11,0.4166754767201954,0.6668516128717967,1.0835270895919922
DBSCAN,new_data_scaled,0,2,0.007,12,0.36320176219659955,0.6429284494711969,1.0061302116677964
DBSCAN,new_data_scaled,0,2,0.007,13,0.3287619109019923,0.6216821199762357,0.950444030878228
DBSCAN,new_data_scaled,0,2,0.007,14,0.2832970919560284,0.5923526377155209,0.8756497296715493
