name,prefix,seed,dim,density_threshold,distance_threshold,gauss_cutoff,ari,nmi,sum
dpca,new_data_scaled,0,2,0.02,0.3,True,0.0,0.0,0.0
dpca,new_data_scaled,0,2,0.02,0.4,True,0.0,0.0,0.0
dpca,new_data_scaled,0,2,0.02,,True,0.5290466117349506,0.6596997125003725,1.1887463242353231
dpca,new_data_scaled,0,2,0.03,0.01,True,0.0497140717760852,0.36569939808619506,0.4154134698622803
dpca,new_data_scaled,0,2,0.03,0.02,True,0.22675553965570874,0.5190205154024559,0.7457760550581646
dpca,new_data_scaled,0,2,0.03,0.03,True,0.2459787077088065,0.5425412129054396,0.788519920614246
dpca,new_data_scaled,0,2,0.03,0.04,True,0.24017453358482665,0.5449023534302898,0.7850768870151165
dpca,new_data_scaled,0,2,0.03,0.05,True,0.23903816259088279,0.5472108057184027,0.7862489683092855
dpca,new_data_scaled,0,2,0.03,0.06,True,0.2632118508732326,0.5513988445923202,0.8146106954655529
dpca,new_data_scaled,0,2,0.03,0.07,True,0.4143671747356099,0.6320866949117927,1.0464538696474026
dpca,new_data_scaled,0,2,0.03,0.08,True,0.4124423808799615,0.6324060686627057,1.044848449542667
dpca,new_data_scaled,0,2,0.03,0.09,True,0.40446407970757847,0.6242858701100301,1.0287499498176085
dpca,new_data_scaled,0,2,0.03,0.1,True,0.5311622426920691,0.6577934331483059,1.188955675840375
dpca,new_data_scaled,0,2,0.03,0.15,True,0.41298083523691637,0.5825613018689341,0.9955421371058504
dpca,new_data_scaled,0,2,0.03,0.2,True,0.1713587926927716,0.32149247015542814,0.49285126284819974
dpca,new_data_scaled,0,2,0.03,0.3,True,0.0,0.0,0.0
dpca,new_data_scaled,0,2,0.03,0.4,True,0.0,0.0,0.0
dpca,new_data_scaled,0,2,0.03,,True,0.5290466117349506,0.6596997125003725,1.1887463242353231
dpca,new_data_scaled,0,2,0.04,0.01,True,0.04971434969407094,0.36572579352279055,0.4154401432168615
dpca,new_data_scaled,0,2,0.04,0.02,True,0.22675591714143709,0.5190532860574103,0.7458092031988474
dpca,new_data_scaled,0,2,0.04,0.03,True,0.24598074827779753,0.5426059124799256,0.7885866607577232
dpca,new_data_scaled,0,2,0.04,0.04,True,0.23995990751399923,0.5448095676208238,0.784769475134823
dpca,new_data_scaled,0,2,0.04,0.05,True,0.23903816259088279,0.5472108057184027,0.7862489683092855
dpca,new_data_scaled,0,2,0.04,0.06,True,0.2632118508732326,0.5513988445923202,0.8146106954655529
dpca,new_data_scaled,0,2,0.04,0.07,True,0.4143671747356099,0.6320866949117927,1.0464538696474026
dpca,new_data_scaled,0,2,0.04,0.08,True,0.4124423808799615,0.6324060686627057,1.044848449542667
dpca,new_data_scaled,0,2,0.04,0.09,True,0.40446407970757847,0.6242858701100301,1.0287499498176085
dpca,new_data_scaled,0,2,0.04,0.1,True,0.5311622426920691,0.6577934331483059,1.188955675840375
dpca,new_data_scaled,0,2,0.04,0.15,True,0.41298083523691637,0.5825613018689341,0.9955421371058504
dpca,new_data_scaled,0,2,0.04,0.2,True,0.1713587926927716,0.32149247015542814,0.49285126284819974
dpca,new_data_scaled,0,2,0.04,0.3,True,0.0,0.0,0.0
dpca,new_data_scaled,0,2,0.04,0.4,True,0.0,0.0,0.0
dpca,new_data_scaled,0,2,0.04,,True,0.5290466117349506,0.6596997125003725,1.1887463242353231
dpca,new_data_scaled,0,2,0.05,0.01,True,0.049714627611989505,0.3657521927699986,0.4154668203819881
dpca,new_data_scaled,0,2,0.05,0.02,True,0.22675629462703117,0.5190860608508667,0.7458423554778979
dpca,new_data_scaled,0,2,0.05,0.03,True,0.24598115639112064,0.5426390965903177,0.7886202529814383
dpca,new_data_scaled,0,2,0.05,0.04,True,0.2399623333000994,0.5448801096450664,0.7848424429451658
dpca,new_data_scaled,0,2,0.05,0.05,True,0.23903816259088279,0.5472108057184027,0.7862489683092855
