name,prefix,seed,dim,k,beta,ari,nmi,sum
DCF,new_data_scaled,0,2,13,0.9,0.9473164990549544,0.95266818706502,1.8999846861199745
DCF,new_data_scaled,0,2,14,0.9,0.9479830571087429,0.9540720017523379,1.9020550588610807
DCF,new_data_scaled,0,2,15,0.9,0.7494200690931155,0.9036810384908002,1.6531011075839157
DCF,new_data_scaled,0,2,20,0.9,0.6276779099294904,0.8312491400574122,1.4589270499869027
DCF,new_data_scaled,0,2,25,0.9,0.6235567369780841,0.8385926829304794,1.4621494199085636
DCF,new_data_scaled,0,2,30,0.9,0.5725635924237944,0.7920370561265928,1.3646006485503872
DCF,new_data_scaled,0,2,35,0.9,0.4538335110362925,0.6672419397942091,1.1210754508305016
DCF,new_data_scaled,0,2,40,0.9,0.24748767940101796,0.4449271977497859,0.6924148771508039
DCF,new_data_scaled,0,2,45,0.9,0.24897958355479918,0.4463073398664603,0.6952869234212595
DCF,new_data_scaled,0,2,50,0.9,0.2374148221267437,0.4233014689232717,0.6607162910500154
DCF,new_data_scaled,0,2,55,0.9,2.726276299387268e-05,0.00042247193537558916,0.00044973469836946184
DCF,new_data_scaled,0,2,60,0.9,2.726276299387268e-05,0.00042247193537558916,0.00044973469836946184
DCF,new_data_scaled,0,2,70,0.9,2.726276299387268e-05,0.00042247193537558916,0.00044973469836946184
DCF,new_data_scaled,0,2,80,0.9,2.726276299387268e-05,0.00042247193537558916,0.00044973469836946184
DCF,new_data_scaled,0,2,90,0.9,2.726276299387268e-05,0.00042247193537558916,0.00044973469836946184
DCF,new_data_scaled,0,2,100,0.9,2.726276299387268e-05,0.00042247193537558916,0.00044973469836946184
DCF,new_data_scaled,0,2,3,0.95,0.007453166500093673,0.45710994074830363,0.46456310724839733
DCF,new_data_scaled,0,2,5,0.95,0.18481407756432405,0.6307147209856767,0.8155287985500008
DCF,new_data_scaled,0,2,6,0.95,0.6607389377891176,0.8132736484506586,1.4740125862397764
DCF,new_data_scaled,0,2,7,0.95,0.9023783637316007,0.9393170238748518,1.8416953876064526
DCF,new_data_scaled,0,2,8,0.95,0.9638450103284574,0.9632190373173175,1.927064047645775
DCF,new_data_scaled,0,2,9,0.95,0.9905950784065185,0.9851144567040282,1.9757095351105467
DCF,new_data_scaled,0,2,10,0.95,0.974460986844251,0.973491595196217,1.947952582040468
DCF,new_data_scaled,0,2,11,0.95,0.9781875765936355,0.9794326961314095,1.9576202727250451
DCF,new_data_scaled,0,2,12,0.95,0.9610612818596678,0.9647992771089906,1.9258605589686584
DCF,new_data_scaled,0,2,13,0.95,0.9514100240957322,0.9633642526887826,1.9147742767845148
DCF,new_data_scaled,0,2,14,0.95,0.9511709436764755,0.9635235761296245,1.9146945198060998
DCF,new_data_scaled,0,2,15,0.95,0.7986965082175537,0.9142444242475111,1.7129409324650648
DCF,new_data_scaled,0,2,20,0.95,0.6611224347706716,0.8473609441237611,1.5084833788944327
DCF,new_data_scaled,0,2,25,0.95,0.45204628103391553,0.7449183908264313,1.1969646718603468
DCF,new_data_scaled,0,2,30,0.95,0.3497887684544801,0.6594585839438484,1.0092473523983285
DCF,new_data_scaled,0,2,35,0.95,0.044695178920292664,0.2209934864859211,0.2656886654062138
DCF,new_data_scaled,0,2,40,0.95,0.003250516368684193,0.035162556096184745,0.03841307246486894
DCF,new_data_scaled,0,2,45,0.95,0.003820663419971808,0.03863091945825926,0.042451582878231066
DCF,new_data_scaled,0,2,50,0.95,2.726276299387268e-05,0.00042247193537558916,0.00044973469836946184
DCF,new_data_scaled,0,2,55,0.95,2.726276299387268e-05,0.00042247193537558916,0.00044973469836946184
DCF,new_data_scaled,0,2,60,0.95,2.726276299387268e-05,0.00042247193537558916,0.00044973469836946184
DCF,new_data_scaled,0,2,70,0.95,2.726276299387268e-05,0.00042247193537558916,0.00044973469836946184
DCF,new_data_scaled,0,2,80,0.95,2.726276299387268e-05,0.00042247193537558916,0.00044973469836946184
DCF,new_data_scaled,0,2,90,0.95,2.726276299387268e-05,0.00042247193537558916,0.00044973469836946184
DCF,new_data_scaled,0,2,100,0.95,2.726276299387268e-05,0.00042247193537558916,0.00044973469836946184
DCF,new_data_scaled,0,2,3,0.96,0.007453166500093673,0.45710994074830363,0.46456310724839733
DCF,new_data_scaled,0,2,5,0.96,0.18507343680141242,0.6307866842470305,0.815860121048443
DCF,new_data_scaled,0,2,6,0.96,0.6631666759016585,0.8148696907028455,1.478036366604504
DCF,new_data_scaled,0,2,7,0.96,0.9023783637316007,0.9393170238748518,1.8416953876064526
DCF,new_data_scaled,0,2,8,0.96,0.9647761874241728,0.9644175706462604,1.9291937580704333
DCF,new_data_scaled,0,2,9,0.96,0.9905950784065185,0.9851144567040282,1.9757095351105467
DCF,new_data_scaled,0,2,10,0.96,0.974460986844251,0.973491595196217,1.947952582040468
DCF,new_data_scaled,0,2,11,0.96,0.9781875765936355,0.9794326961314095,1.9576202727250451
DCF,new_data_scaled,0,2,12,0.96,0.9009203133843601,0.9450426276041838,1.8459629409885439
DCF,new_data_scaled,0,2,13,0.96,0.9042824313693972,0.9373657554488127,1.84164818681821
DCF,new_data_scaled,0,2,14,0.96,0.7498322310793978,0.8817591722120118,1.6315914032914096
DCF,new_data_scaled,0,2,15,0.96,0.7588115925056411,0.8834710529817705,1.6422826454874118
DCF,new_data_scaled,0,2,20,0.96,0.4010643086387206,0.7270810215539,1.1281453301926205
DCF,new_data_scaled,0,2,25,0.96,0.45204628103391553,0.7449183908264313,1.1969646718603468
DCF,new_data_scaled,0,2,30,0.96,0.1125315435402311,0.4056297501678114,0.5181612937080424
DCF,new_data_scaled,0,2,35,0.96,0.044695178920292664,0.2209934864859211,0.2656886654062138
DCF,new_data_scaled,0,2,40,0.96,0.003250516368684193,0.035162556096184745,0.03841307246486894
DCF,new_data_scaled,0,2,45,0.96,0.003820663419971808,0.03863091945825926,0.042451582878231066
DCF,new_data_scaled,0,2,50,0.96,2.726276299387268e-05,0.00042247193537558916,0.00044973469836946184
DCF,new_data_scaled,0,2,55,0.96,2.726276299387268e-05,0.00042247193537558916,0.00044973469836946184
DCF,new_data_scaled,0,2,60,0.96,2.726276299387268e-05,0.00042247193537558916,0.00044973469836946184
DCF,new_data_scaled,0,2,70,0.96,2.726276299387268e-05,0.00042247193537558916,0.00044973469836946184
DCF,new_data_scaled,0,2,80,0.96,2.726276299387268e-05,0.00042247193537558916,0.00044973469836946184
