name,prefix,seed,dim,min_cluster_size,ari,nmi,sum
HDBSCAN,low_data,0,5,8,0.9405000829027519,0.9656007827626126,1.9061008656653646
HDBSCAN,low_data,0,5,9,0.9088898861631233,0.9353852680098806,1.8442751541730038
HDBSCAN,low_data,0,5,10,0.9396845607446846,0.9639330718245999,1.9036176325692846
HDBSCAN,low_data,0,5,11,0.9033086702326237,0.9332717807799409,1.8365804510125647
HDBSCAN,low_data,0,5,12,0.938607483502892,0.9622696421404286,1.9008771256433206
HDBSCAN,low_data,0,5,13,0.9375421794352051,0.9608360591122399,1.898378238547445
HDBSCAN,low_data,0,5,14,0.9367509391412151,0.9598559317263006,1.8966068708675157
HDBSCAN,low_data,0,5,15,0.9754500976092444,0.9737464749120888,1.9491965725213332
HDBSCAN,low_data,0,5,16,0.9145064318718036,0.941384745640776,1.8558911775125795
HDBSCAN,low_data,0,5,17,0.9018370869568073,0.9323427476808962,1.8341798346377036
HDBSCAN,low_data,0,5,18,0.9011184276665817,0.932146886801574,1.8332653144681557
HDBSCAN,low_data,0,5,19,0.9115575725866839,0.9396939652918563,1.8512515378785404
HDBSCAN,low_data,0,5,20,0.911810443165217,0.9403508302146879,1.8521612733799049
HDBSCAN,low_data,0,5,21,0.9111021474655491,0.9399640515256665,1.8510661989912156
HDBSCAN,low_data,0,5,22,0.9241879207219713,0.9484348026827915,1.8726227234047628
HDBSCAN,low_data,0,5,23,0.9226371587616811,0.9473134331942513,1.8699505919559325
HDBSCAN,low_data,0,5,24,0.9119148793833107,0.9405971013215103,1.8525119807048211
HDBSCAN,low_data,0,5,25,0.9142949780926436,0.9419423117643194,1.856237289856963
HDBSCAN,low_data,0,5,26,0.9146950139396087,0.9414752617984908,1.8561702757380996
HDBSCAN,low_data,0,5,27,0.912841500142514,0.9395107452791402,1.8523522454216543
HDBSCAN,low_data,0,5,28,0.910934856849296,0.9376792004515409,1.848614057300837
HDBSCAN,low_data,0,5,29,0.9098893238835883,0.9366132772103887,1.846502601093977
HDBSCAN,low_data,0,5,30,0.9087869559473323,0.9365182903198294,1.8453052462671615
HDBSCAN,low_data,0,10,2,0.9251638534460322,0.9072683563368618,1.832432209782894
HDBSCAN,low_data,0,10,3,0.9209027923283255,0.9241653794232045,1.84506817175153
HDBSCAN,low_data,0,10,4,0.9074092475026212,0.9196398670495771,1.8270491145521983
