name,prefix,seed,dim,n_clusters,threshold,branching_factor,ari,nmi,sum
Birch,low_data,0,5,10,0.05,5,0.1066247625407029,0.36940545849603956,0.4760302210367425
Birch,low_data,0,5,10,0.075,2,0.07212626082814967,0.3036538281829382,0.37578008901108784
Birch,low_data,0,5,10,0.075,5,0.10596894059975308,0.36945638559693134,0.47542532619668443
Birch,low_data,0,5,10,0.1,2,0.3117302242940099,0.5628589516269752,0.8745891759209852
Birch,low_data,0,5,10,0.1,5,0.17138272813973157,0.48146524856592154,0.6528479767056531
Birch,low_data,0,5,10,0.125,2,0.07558005499895698,0.29793202732878105,0.373512082327738
Birch,low_data,0,5,10,0.125,5,0.10341241857583665,0.3608859146293909,0.46429833320522756
Birch,low_data,0,5,10,0.15,2,0.1743340503732831,0.4837171286976241,0.6580511790709072
Birch,low_data,0,5,10,0.15,5,0.09886474297292594,0.3441156103277467,0.44298035330067265
Birch,low_data,0,5,10,0.2,2,0.10528213964130306,0.35349357589714425,0.4587757155384473
Birch,low_data,0,5,10,0.2,5,0.030416553668098627,0.17872370683845593,0.20914026050655454
Birch,low_data,0,5,10,0.25,2,0.12739412025458205,0.38947085605944354,0.5168649763140256
Birch,low_data,0,5,10,0.25,5,0.10488831804401928,0.3520500029908753,0.45693832103489457
Birch,low_data,0,5,10,0.3,2,0.1656698066799239,0.446280874676934,0.6119506813568579
Birch,low_data,0,5,10,0.3,5,0.1305466341792067,0.38597515141262156,0.5165217855918283
Birch,low_data,0,10,10,0.01,2,0.7537009092760053,0.8405073575534504,1.5942082668294557
Birch,low_data,0,10,10,0.01,5,0.7537009092760053,0.8405073575534504,1.5942082668294557
Birch,low_data,0,10,10,0.025,2,0.46467613602075675,0.6945315585525415,1.1592076945732983
Birch,low_data,0,10,10,0.025,5,0.33841293141663653,0.6494030265927506,0.9878159580093872
Birch,low_data,0,10,10,0.05,2,0.10768345591788957,0.3729811740082742,0.48066462992616377
Birch,low_data,0,10,10,0.05,5,0.10768345591788957,0.3729811740082742,0.48066462992616377
Birch,low_data,0,10,10,0.075,2,0.10712200034337864,0.3753229178509847,0.48244491819436336
Birch,low_data,0,10,10,0.075,5,0.1052278267824182,0.36581452228099937,0.4710423490634176
Birch,low_data,0,10,10,0.1,2,0.10731249415686525,0.37705796844666734,0.48437046260353256
Birch,low_data,0,10,10,0.1,5,0.16297013549692277,0.46999894105572126,0.632969076552644
Birch,low_data,0,10,10,0.125,2,0.10457986680082855,0.36526292882050915,0.4698427956213377
Birch,low_data,0,10,10,0.125,5,0.10897299636096608,0.3831994482843376,0.4921724446453037
Birch,low_data,0,10,10,0.15,2,0.10196246791924718,0.35577689589623174,0.4577393638154789
Birch,low_data,0,10,10,0.15,5,0.10168937240522034,0.3578598142090727,0.45954918661429306
Birch,low_data,0,10,10,0.2,2,0.10564906517943289,0.3729547413987141,0.478603806578147
Birch,low_data,0,10,10,0.2,5,0.09821552391083695,0.34741423519278675,0.4456297591036237
Birch,low_data,0,10,10,0.25,2,0.031559187062371014,0.18506228967490307,0.21662147673727408
Birch,low_data,0,10,10,0.25,5,0.03213214691615499,0.18700047229736766,0.21913261921352264
Birch,low_data,0,10,10,0.3,2,0.09606997702942176,0.34400302098436525,0.440072998013787
Birch,low_data,0,10,10,0.3,5,0.1042897194486529,0.36366601103193713,0.46795573048059
Birch,low_data,0,50,10,0.01,2,0.7437067369522594,0.849854278667783,1.5935610156200424
Birch,low_data,0,50,10,0.01,5,0.7437067369522594,0.849854278667783,1.5935610156200424
Birch,low_data,0,50,10,0.025,2,0.47758802269517586,0.7457052934710616,1.2232933161662376
Birch,low_data,0,50,10,0.025,5,0.47758802269517586,0.7457052934710616,1.2232933161662376
Birch,low_data,0,50,10,0.05,2,0.2422595382314346,0.5336025006230023,0.7758620388544368
Birch,low_data,0,50,10,0.05,5,0.2422595382314346,0.5336025006230023,0.7758620388544368
Birch,low_data,0,50,10,0.075,2,0.23311511276324112,0.5004721608980659,0.733587273661307
Birch,low_data,0,50,10,0.075,5,0.2326942523599533,0.4994689234657672,0.7321631758257205
Birch,low_data,0,50,10,0.1,2,0.039088713822235784,0.21714662892535788,0.2562353427475937
Birch,low_data,0,50,10,0.1,5,0.039013250851321006,0.21749967049218358,0.25651292134350456
Birch,low_data,0,50,10,0.125,2,0.03744299226972087,0.21054750140596792,0.2479904936756888
Birch,low_data,0,50,10,0.125,5,0.03333900994402261,0.192446884725659,0.2257858946696816
