name,prefix,seed,dim,n_clusters ,alpha,embedding_size,ari,nmi,sum
DEC,low_data,8,10,10,0.1,2,0.6765777354004767,0.7948691014251457,1.4714468368256224
DEC,low_data,8,10,10,0.1,5,0.6829997142353734,0.8289198711814194,1.5119195854167928
DEC,low_data,8,10,10,0.1,10,0.8903102650344709,0.9294930290087922,1.819803294043263
DEC,low_data,8,10,10,0.2,2,0.6277994795156084,0.797461825055916,1.4252613045715243
DEC,low_data,8,10,10,0.2,5,0.7289805432091698,0.8480685959693217,1.5770491391784915
DEC,low_data,8,10,10,0.2,10,0.7942192593680948,0.8832350958435156,1.6774543552116103
DEC,low_data,8,10,10,0.3,2,0.6177182230625005,0.781286128551226,1.3990043516137265
DEC,low_data,8,10,10,0.3,5,0.7342005193024151,0.8514431767142575,1.5856436960166727
DEC,low_data,8,10,10,0.3,10,0.7152578634284402,0.8661484584341191,1.5814063218625594
DEC,low_data,8,10,10,0.4,2,0.682603480647071,0.8266146342516448,1.5092181148987158
DEC,low_data,8,10,10,0.4,5,0.7310757541666362,0.8526187536965323,1.5836945078631683
DEC,low_data,8,10,10,0.4,10,0.5476904834625561,0.725369346744592,1.273059830207148
DEC,low_data,8,10,10,0.5,2,0.5309203974529287,0.754134378963814,1.2850547764167426
DEC,low_data,8,10,10,0.5,5,0.7698182941766407,0.8628404089015528,1.6326587030781936
DEC,low_data,8,10,10,0.5,10,0.5039432290697369,0.7027270261436457,1.2066702552133826
DEC,low_data,8,10,10,0.6,2,0.5074681758003662,0.7591028065068725,1.2665709823072386
DEC,low_data,8,10,10,0.6,5,0.7679913847655686,0.8606820075544274,1.628673392319996
DEC,low_data,8,10,10,0.6,10,0.5465947362092924,0.749560029568414,1.2961547657777066
DEC,low_data,8,10,10,0.7,2,0.5070361956287823,0.7584752032157607,1.265511398844543
DEC,low_data,8,10,10,0.7,5,0.5106340906671956,0.7539023461227622,1.2645364367899576
DEC,low_data,8,10,10,0.7,10,0.5258539302255056,0.748923741453141,1.2747776716786468
DEC,low_data,8,10,10,0.8,2,0.48355534840952386,0.7442394575492809,1.2277948059588049
DEC,low_data,8,10,10,0.8,5,0.5879035148983849,0.807534836206733,1.3954383511051178
DEC,low_data,8,10,10,0.8,10,0.4466586903768705,0.6791143796505887,1.1257730700274593
DEC,low_data,8,10,10,0.9,2,0.5083690728708745,0.756914579578866,1.2652836524497406
DEC,low_data,8,10,10,0.9,5,0.6082080141925454,0.8180268761492112,1.4262348903417568
DEC,low_data,8,10,10,0.9,10,0.4098137690054183,0.6247897527596051,1.0346035217650233
DEC,low_data,8,10,10,1,2,0.5084971461276278,0.7585315837838199,1.2670287299114475
DEC,low_data,8,10,10,1,5,0.5878590159121998,0.8069213119190852,1.3947803278312851
DEC,low_data,8,10,10,1,10,0.41068671101710713,0.6120219752183028,1.02270868623541
DEC,low_data,8,50,10,0.1,2,0.27371370453419247,0.4761595608073504,0.7498732653415429
DEC,low_data,8,50,10,0.1,5,0.4896826755348214,0.7080931285416814,1.1977758040765027
DEC,low_data,8,50,10,0.1,10,0.3759076569398565,0.5937183264453816,0.9696259833852381
DEC,low_data,8,50,10,0.2,2,0.49052801066420904,0.7093866953742343,1.1999147060384434
DEC,low_data,8,50,10,0.2,5,0.4723309763151814,0.7069041559837371,1.1792351322989185
DEC,low_data,8,50,10,0.2,10,0.3460411648514987,0.597252820920411,0.9432939857719097
DEC,low_data,8,50,10,0.3,2,0.35685570192190474,0.59846002767547,0.9553157295973748
DEC,low_data,8,50,10,0.3,5,0.4832938629762779,0.7354513945455583,1.2187452575218363
DEC,low_data,8,50,10,0.3,10,0.365277496896677,0.5849679768773325,0.9502454737740095
DEC,low_data,8,50,10,0.4,2,0.35605493768016583,0.5940502204432382,0.950105158123404
DEC,low_data,8,50,10,0.4,5,0.48516673506203695,0.7366919547148758,1.2218586897769128
DEC,low_data,8,50,10,0.4,10,0.48193576914477976,0.7242726358162445,1.2062084049610242
DEC,low_data,8,50,10,0.5,2,0.38209366744298473,0.5957063530703229,0.9778000205133077
DEC,low_data,8,50,10,0.5,5,0.49545501604201186,0.7362193690838369,1.2316743851258487
DEC,low_data,8,50,10,0.5,10,0.47684894441995135,0.7232522269709403,1.2001011713908916
DEC,low_data,8,50,10,0.6,2,0.3811114870186616,0.5911437519344599,0.9722552389531215
DEC,low_data,8,50,10,0.6,5,0.3567313110094773,0.5992874484620567,0.956018759471534
DEC,low_data,8,50,10,0.6,10,0.4737653802809447,0.723655344610537,1.1974207248914817
DEC,low_data,8,50,10,0.7,2,0.3742087706447573,0.5941146697989548,0.9683234404437121
DEC,low_data,8,50,10,0.7,5,0.3421930227884694,0.602009783549811,0.9442028063382805
DEC,low_data,8,50,10,0.7,10,0.5204548139334079,0.7067241450697239,1.227178959003132
DEC,low_data,8,50,10,0.8,2,0.3685762778718687,0.6152037922001395,0.9837800700720083
DEC,low_data,8,50,10,0.8,5,0.3850927906283502,0.6094205160445011,0.9945133066728513
DEC,low_data,8,50,10,0.8,10,0.526787195028949,0.7085366954110327,1.2353238904399817
DEC,low_data,8,50,10,0.9,2,0.28762500551842496,0.5127830054259326,0.8004080109443575
DEC,low_data,8,50,10,0.9,5,0.3784231669286884,0.6029228798491408,0.9813460467778292
DEC,low_data,8,50,10,0.9,10,0.522206198629023,0.709149233455156,1.2313554320841789
DEC,low_data,8,50,10,1,2,0.2699526807354101,0.5022132315703616,0.7721659123057717
DEC,low_data,8,50,10,1,5,0.6040534903664625,0.7518998844566641,1.3559533748231267
DEC,low_data,8,50,10,1,10,0.4884874363680599,0.7276543750702045,1.2161418114382645
DEC,low_data,8,100,10,0.1,2,0.45196545493844864,0.6864164558077595,1.138381910746208
DEC,low_data,8,100,10,0.1,5,0.5614869245018194,0.7476435340678003,1.3091304585696197
DEC,low_data,8,100,10,0.1,10,0.36151141285853733,0.5956146140506714,0.9571260269092088
DEC,low_data,8,100,10,0.2,2,0.4229960346717984,0.6497736247752193,1.0727696594470177
DEC,low_data,8,100,10,0.2,5,0.5237949969641954,0.7123399150209778,1.2361349119851732
DEC,low_data,8,100,10,0.2,10,0.497534272519444,0.6984183517035603,1.1959526242230043
DEC,low_data,8,100,10,0.3,2,0.43149215110825223,0.6713670461034963,1.1028591972117485
DEC,low_data,8,100,10,0.3,5,0.5266599968403524,0.7306891941551059,1.2573491909954582
DEC,low_data,8,100,10,0.3,10,0.5218164733875326,0.7084499966720579,1.2302664700595904
DEC,low_data,8,100,10,0.4,2,0.4384656258509447,0.6996355377787306,1.1381011636296752
DEC,low_data,8,100,10,0.4,5,0.3778015113322553,0.585688219989532,0.9634897313217874
DEC,low_data,8,100,10,0.4,10,0.4878712786919573,0.7056583701141477,1.193529648806105
DEC,low_data,8,100,10,0.5,2,0.4382386912466681,0.6993038544074112,1.1375425456540793
DEC,low_data,8,100,10,0.5,5,0.3875643128276305,0.5943906065667408,0.9819549193943713
DEC,low_data,8,100,10,0.5,10,0.4407528275052568,0.6404424311717432,1.081195258677
DEC,low_data,8,100,10,0.6,2,0.44399905183583044,0.7019617045802937,1.145960756416124
