name,prefix,seed,dim,n_clusters,epsilon,ari,nmi,sum
SpectACl,low_data,5,10,10,0.004,0.0,0.0,0.0
SpectACl,low_data,5,10,10,0.005,0.0,0.0,0.0
SpectACl,low_data,5,10,10,0.006,-0.00022588288326709342,0.0038534841032247477,0.0036276012199576544
SpectACl,low_data,5,10,10,0.007,-0.00019491377192834723,0.0038236690559307947,0.0036287552840024474
SpectACl,low_data,5,10,10,0.008,3.297084622906702e-05,0.011187510714906162,0.011220481561135228
SpectACl,low_data,5,10,10,0.009,-0.0012546746779919717,0.01801072117884172,0.016756046500849747
SpectACl,low_data,5,10,10,0.01,-0.0035567524176548814,0.032255321184414924,0.02869856876676004
SpectACl,low_data,5,10,10,0.02,0.011409672143895516,0.24170160007369765,0.25311127221759316
SpectACl,low_data,5,10,10,0.03,0.08305920053376226,0.4936395717428,0.5766987722765622
SpectACl,low_data,5,10,10,0.04,0.13163394033372533,0.553644161179528,0.6852781015132533
SpectACl,low_data,5,10,10,0.05,0.28682873498870914,0.6892807416552154,0.9761094766439244
SpectACl,low_data,5,10,10,0.06,0.62397550116348,0.8455800528754837,1.4695555540389638
SpectACl,low_data,5,10,10,0.07,0.8093816340966483,0.9119054187562511,1.7212870528528994
SpectACl,low_data,5,10,10,0.08,0.7055360573643887,0.8864183380292023,1.591954395393591
SpectACl,low_data,5,10,10,0.09,0.7046452954754006,0.8873679156272014,1.592013211102602
SpectACl,low_data,5,10,10,0.1,0.724363024735997,0.8909104900850852,1.6152735148210822
SpectACl,low_data,5,10,10,0.12,0.9122807939616786,0.9528904743177693,1.865171268279448
SpectACl,low_data,5,10,10,0.15,0.8548238477009806,0.917204933651951,1.7720287813529316
SpectACl,low_data,5,10,10,0.2,0.9152822563299263,0.9147931143317792,1.8300753706617057
SpectACl,low_data,5,10,10,0.25,0.7467233903513932,0.8586304621811552,1.6053538525325486
SpectACl,low_data,5,10,10,0.3,0.7013700572349338,0.8013897248911162,1.5027597821260499
SpectACl,low_data,5,10,10,0.4,0.6994238229030658,0.8249383024766063,1.524362125379672
SpectACl,low_data,5,10,10,0.5,0.7172582935078893,0.8310835430813807,1.54834183658927
SpectACl,low_data,5,50,10,0.001,0.0,0.0,0.0
SpectACl,low_data,5,50,10,0.002,0.0,0.0,0.0
SpectACl,low_data,5,50,10,0.003,0.0,0.0,0.0
SpectACl,low_data,5,50,10,0.004,0.0,0.0,0.0
SpectACl,low_data,5,50,10,0.005,0.0,0.0,0.0
SpectACl,low_data,5,50,10,0.006,0.0,0.0,0.0
SpectACl,low_data,5,50,10,0.007,0.0,0.0,0.0
SpectACl,low_data,5,50,10,0.008,0.0,0.0,0.0
SpectACl,low_data,5,50,10,0.009,0.0,0.0,0.0
