name,prefix,seed,dim,n_clusters ,cluster_loss_weight,alpha,embedding_size,ari,nmi,sum
IDEC,low_data,1,2,10,0.01,0.2,2,0.6504393041646231,0.7086375769819016,1.3590768811465246
IDEC,low_data,1,2,10,0.01,0.3,2,0.6612687103698328,0.7207662849210054,1.3820349952908382
IDEC,low_data,1,2,10,0.01,0.4,2,0.6686126310587542,0.7235164856648894,1.3921291167236436
IDEC,low_data,1,2,10,0.01,0.5,2,0.6762516125018392,0.723451402360754,1.399703014862593
IDEC,low_data,1,2,10,0.01,0.6,2,0.6855335139688041,0.7245833322889703,1.4101168462577744
IDEC,low_data,1,2,10,0.01,0.7,2,0.6963839771628272,0.7268058176446314,1.4231897948074586
IDEC,low_data,1,2,10,0.01,0.8,2,0.7002099928265527,0.7290346661792084,1.4292446590057613
IDEC,low_data,1,2,10,0.01,0.9,2,0.6981397774989493,0.728263701871129,1.4264034793700784
IDEC,low_data,1,2,10,0.01,1,2,0.6972093612848413,0.7277101185355247,1.4249194798203662
IDEC,low_data,1,5,10,1,0.1,2,0.6123863797047907,0.71427634552824,1.3266627252330307
IDEC,low_data,1,5,10,1,0.1,5,0.7285924761169092,0.809570926504649,1.5381634026215583
IDEC,low_data,1,5,10,1,0.2,2,0.4659514823406005,0.6598934965904976,1.125844978931098
IDEC,low_data,1,5,10,1,0.2,5,0.6691766557250789,0.7777964165438985,1.4469730722689773
IDEC,low_data,1,5,10,1,0.3,2,0.502893608500399,0.6706154767736398,1.1735090852740386
IDEC,low_data,1,5,10,1,0.3,5,0.5786171452599683,0.7295906685518908,1.3082078138118591
IDEC,low_data,1,5,10,1,0.4,2,0.40317564524151356,0.5831407395743262,0.9863163848158398
IDEC,low_data,1,5,10,1,0.4,5,0.5504521128798251,0.7235549946623494,1.2740071075421744
IDEC,low_data,1,5,10,1,0.5,2,0.3884670288695764,0.5683057956539331,0.9567728245235095
IDEC,low_data,1,5,10,1,0.5,5,0.5507772533901162,0.7245562848552366,1.2753335382453528
IDEC,low_data,1,5,10,1,0.6,2,0.3890049661840298,0.56811952357106,0.9571244897550898
IDEC,low_data,1,5,10,1,0.6,5,0.6789513524978148,0.7561790561882318,1.4351304086860466
IDEC,low_data,1,5,10,1,0.7,2,0.38813680330339023,0.5668935709101502,0.9550303742135404
IDEC,low_data,1,5,10,1,0.7,5,0.7086042684556857,0.7892920075012175,1.4978962759569032
IDEC,low_data,1,5,10,1,0.8,2,0.35569630909801786,0.5507505928412535,0.9064469019392714
IDEC,low_data,1,5,10,1,0.8,5,0.7100423753335349,0.7935273078125296,1.5035696831460643
IDEC,low_data,1,5,10,1,0.9,2,0.42053831426255417,0.5975619901015436,1.018100304364098
IDEC,low_data,1,5,10,1,0.9,5,0.7121559677669973,0.793810659913,1.5059666276799972
IDEC,low_data,1,5,10,1,1,2,0.42058223024250846,0.5940749639167506,1.014657194159259
IDEC,low_data,1,5,10,1,1,5,0.6814336345795458,0.7870843827155114,1.4685180172950572
IDEC,low_data,1,5,10,0.1,0.1,2,0.6729335529425083,0.7701233022606113,1.4430568552031198
IDEC,low_data,1,5,10,0.1,0.1,5,0.7192843908795726,0.7951457574325093,1.514430148312082
IDEC,low_data,1,5,10,0.1,0.2,2,0.41328052932948117,0.6026356255058707,1.015916154835352
IDEC,low_data,1,5,10,0.1,0.2,5,0.6640908007777416,0.765289565595536,1.4293803663732776
IDEC,low_data,1,5,10,0.1,0.3,2,0.4576687179113208,0.6331360730466751,1.0908047909579959
IDEC,low_data,1,5,10,0.1,0.3,5,0.7027035776211831,0.7757760903400938,1.4784796679612768
IDEC,low_data,1,5,10,0.1,0.4,2,0.3994070040405147,0.625007863187807,1.0244148672283218
IDEC,low_data,1,5,10,0.1,0.4,5,0.5394447603994326,0.7011689248045926,1.2406136852040253
IDEC,low_data,1,5,10,0.1,0.5,2,0.4208171472912016,0.5931725914620714,1.013989738753273
IDEC,low_data,1,5,10,0.1,0.5,5,0.5393804035798458,0.7032620960771337,1.2426424996569796
IDEC,low_data,1,5,10,0.1,0.6,2,0.4307525405637249,0.6067981918896614,1.0375507324533864
IDEC,low_data,1,5,10,0.1,0.6,5,0.543204634634461,0.709478689954735,1.252683324589196
