name,prefix,seed,dim,significance,n_clusters_init,max_n_clusters,split_viewers_threshold,ari,nmi,sum
DipMeans,low_data,8,2,0.001,5,30,0.02,0.7155455322998715,0.7963349616251076,1.5118804939249793
DipMeans,low_data,8,2,0.001,7,10,0.02,0.8031859044055586,0.8037565614818025,1.6069424658873612
DipMeans,low_data,8,2,0.001,7,12,0.02,0.8509598190249253,0.8422222610663187,1.693182080091244
DipMeans,low_data,8,2,0.001,7,15,0.02,0.788053955480301,0.813702375870223,1.6017563313505239
DipMeans,low_data,8,2,0.001,7,20,0.02,0.7094280495055413,0.8013119594976525,1.510740009003194
DipMeans,low_data,8,2,0.001,7,25,0.02,0.6883824637751386,0.7914725548374946,1.4798550186126331
DipMeans,low_data,8,2,0.001,7,30,0.02,0.6883824637751386,0.7914725548374946,1.4798550186126331
DipMeans,low_data,8,2,0.001,10,12,0.02,0.8509598190249253,0.8422222610663187,1.693182080091244
DipMeans,low_data,8,2,0.001,10,15,0.02,0.7994216939775253,0.8171835698563376,1.6166052638338628
DipMeans,low_data,8,2,0.001,10,20,0.02,0.7155964521432984,0.7928776170159676,1.508474069159266
DipMeans,low_data,8,2,0.001,10,25,0.02,0.7155964521432984,0.7928776170159676,1.508474069159266
DipMeans,low_data,8,2,0.001,10,30,0.02,0.7155964521432984,0.7928776170159676,1.508474069159266
DipMeans,low_data,8,2,0.001,12,15,0.02,0.7885689726496293,0.8133222102245907,1.60189118287422
DipMeans,low_data,8,2,0.001,12,20,0.02,0.7208652937459217,0.8016110070737594,1.522476300819681
DipMeans,low_data,8,2,0.001,12,25,0.02,0.7208652937459217,0.8016110070737594,1.522476300819681
DipMeans,low_data,8,2,0.001,12,30,0.02,0.7208652937459217,0.8016110070737594,1.522476300819681
DipMeans,low_data,8,2,0.001,15,20,0.02,0.6875580817535398,0.7847815670275007,1.4723396487810405
DipMeans,low_data,8,2,0.001,15,25,0.02,0.6857673036806451,0.7878000275788968,1.4735673312595419
DipMeans,low_data,8,2,0.001,15,30,0.02,0.6857673036806451,0.7878000275788968,1.4735673312595419
