name,prefix,seed,dim,epsilon,min_samples,ari,nmi,sum
DBSCAN,low_data,0,2,0.006,9,0.3623717471838309,0.6220057799597928,0.9843775271436237
DBSCAN,low_data,0,2,0.006,10,0.32837055266979226,0.60153671501165,0.9299072676814422
DBSCAN,low_data,0,2,0.006,11,0.29756920465007225,0.5819552585290744,0.8795244631791466
DBSCAN,low_data,0,2,0.006,12,0.2740749770541221,0.566808224866983,0.8408832019211051
DBSCAN,low_data,0,2,0.006,13,0.2514090619848539,0.5468744546688833,0.7982835166537372
DBSCAN,low_data,0,2,0.006,14,0.2384468582221837,0.5362215180067019,0.7746683762288856
DBSCAN,low_data,0,2,0.006,15,0.2221358607036219,0.5183717939737965,0.7405076546774184
DBSCAN,low_data,0,2,0.006,16,0.20709859330723737,0.49839246797480125,0.7054910612820386
DBSCAN,low_data,0,2,0.006,17,0.19602916244493265,0.48805552665601065,0.6840846891009433
DBSCAN,low_data,0,2,0.006,18,0.17745051240070103,0.46932868407779066,0.6467791964784917
DBSCAN,low_data,0,2,0.006,19,0.16256391742999937,0.45485698181360557,0.617420899243605
DBSCAN,low_data,0,2,0.006,20,0.07287082906669397,0.4088817991119803,0.48175262817867426
DBSCAN,low_data,0,2,0.007,2,0.8177696304520027,0.7576951553996899,1.5754647858516926
DBSCAN,low_data,0,2,0.007,3,0.7847694407165514,0.7652875393989359,1.5500569801154873
DBSCAN,low_data,0,2,0.007,4,0.734925462090856,0.7538100149536321,1.488735477044488
DBSCAN,low_data,0,2,0.007,5,0.6694925179489878,0.7381319301131263,1.407624448062114
DBSCAN,low_data,0,2,0.007,6,0.615771933164883,0.7264763977734223,1.3422483309383053
DBSCAN,low_data,0,2,0.007,7,0.5611580942522869,0.710986021786535,1.272144116038822
DBSCAN,low_data,0,2,0.007,8,0.5188073911167677,0.6887303362057308,1.2075377273224985
DBSCAN,low_data,0,2,0.007,9,0.477950457206323,0.6807561847114196,1.1587066419177425
DBSCAN,low_data,0,2,0.007,10,0.42429489883429633,0.661260365460736,1.0855552642950324
DBSCAN,low_data,0,2,0.007,11,0.3962205705403875,0.649449723667859,1.0456702942082465
DBSCAN,low_data,0,2,0.007,12,0.3739985931923306,0.6361708827242138,1.0101694759165445
DBSCAN,low_data,0,2,0.007,13,0.35210334015594863,0.6220674287545039,0.9741707689104526
DBSCAN,low_data,0,2,0.007,14,0.33074463443788804,0.6075864694587145,0.9383311038966026
DBSCAN,low_data,0,2,0.007,15,0.305973405082548,0.5911062580265815,0.8970796631091295
DBSCAN,low_data,0,2,0.007,16,0.2875349194327428,0.5722537774945224,0.8597886969272652
DBSCAN,low_data,0,2,0.007,17,0.27370998196827806,0.561174174145856,0.834884156114134
DBSCAN,low_data,0,2,0.007,18,0.26477954413138455,0.5542558791377917,0.8190354232691763
DBSCAN,low_data,0,2,0.007,19,0.2524613643312184,0.5431350010662461,0.7955963653974645
DBSCAN,low_data,0,2,0.007,20,0.2415010677141067,0.5307750964623503,0.7722761641764571
DBSCAN,low_data,0,2,0.008,2,0.8536676472301664,0.8009878321856436,1.6546554794158101
DBSCAN,low_data,0,2,0.008,3,0.835651646044268,0.8124535850720497,1.6481052311163178
DBSCAN,low_data,0,2,0.008,4,0.8053429709642532,0.7986509600337576,1.6039939309980107
DBSCAN,low_data,0,2,0.008,5,0.757350855091662,0.7836863494648496,1.5410372045565115
DBSCAN,low_data,0,2,0.008,6,0.7100488225753032,0.767490097732352,1.4775389203076552
DBSCAN,low_data,0,2,0.008,7,0.6527807849767219,0.7501480157388614,1.4029288007155833
DBSCAN,low_data,0,2,0.008,8,0.6111387372348239,0.7359487403225352,1.3470874775573591
